Date,S&P 100,S&P 500,QQQ,NYSE,DJI,IXIC,SPY
2023-01-03,1701.93,3824.14,261.11,15154.45,33136.37,10386.98,370.37
2023-01-04,1710.27,3852.97,262.36,15350.3,33269.77,10458.76,373.23
2023-01-05,1690.65,3808.1,258.25,15225.4,32930.08,10305.24,368.97
2023-01-06,1727.65,3895.08,265.38,15539.74,33630.61,10569.29,377.43
2023-01-09,1726.18,3892.09,267.1,15514.44,33517.65,10635.65,377.21
2023-01-10,1737.8,3919.25,269.36,15608.17,33704.1,10742.63,379.86
2023-01-11,1761.4,3969.61,274.02,15749.09,33973.01,10931.67,384.66
2023-01-12,1767.67,3983.17,275.5,15859.55,34189.97,11001.1,386.06
2023-01-13,1776.57,3999.09,277.39,15918.37,34302.61,11079.16,387.56
2023-01-17,1773.23,3990.97,277.96,15883.56,33910.85,11095.11,386.85
2023-01-18,1744.77,3928.86,274.34,15649.13,33296.96,10957.01,380.74
2023-01-19,1732.87,3898.85,271.65,15569.63,33044.56,10852.27,377.97
2023-01-20,1767.27,3972.61,279.08,15777.55,33375.49,11140.43,385.01
2023-01-23,1789.45,4019.81,285.28,15880.09,33629.56,11364.41,389.63
2023-01-24,1788.33,4016.95,284.7,15868.22,33733.96,11334.27,389.22
2023-01-25,1786.71,4016.22,284.07,15889.27,33743.84,11313.36,389.36
2023-01-26,1808.82,4060.43,289.61,15985.87,33949.41,11512.41,393.64
2023-01-27,1817.24,4070.56,292.49,15962.58,33978.08,11621.71,394.55
2023-01-30,1790.76,4017.77,286.58,15818.9,33717.09,11393.81,389.6
2023-01-31,1816.29,4076.6,290.87,16036.39,34086.04,11584.55,395.32
2023-02-01,1836.58,4119.21,297.09,16121.25,34092.96,11816.32,399.53
2023-02-02,1872.43,4179.76,307.75,16122.58,34053.94,12200.82,405.34
2023-02-03,1854.79,4136.48,302.28,15999.4,33926.01,12006.95,401.03
2023-02-06,1844.33,4111.08,299.73,15895.36,33891.02,11887.45,398.58
2023-02-07,1870.98,4164.0,305.94,16021.62,34156.69,12113.79,403.79
2023-02-08,1847.61,4117.86,300.5,15934.72,33949.01,11910.52,399.38
2023-02-09,1830.92,4081.5,297.84,15828.6,33699.88,11789.58,395.92
2023-02-10,1831.83,4090.46,295.89,15910.69,33869.27,11718.12,396.84
2023-02-13,1854.92,4137.29,300.62,16052.25,34245.93,11891.79,401.5
2023-02-14,1855.95,4136.13,302.85,16025.11,34089.27,11960.15,401.31
2023-02-15,1859.74,4147.6,305.17,16016.09,34128.05,12070.59,402.62
2023-02-16,1831.51,4090.41,299.44,15873.78,33696.85,11855.83,397.07
2023-02-17,1826.06,4079.09,297.33,15840.16,33826.69,11787.27,396.08
2023-02-21,1788.64,3997.34,290.29,15572.52,33129.59,11492.3,388.14
2023-02-22,1786.46,3991.05,290.5,15530.83,33045.09,11507.07,387.6
2023-02-23,1796.81,4012.32,293.04,15584.93,33153.91,11590.4,389.66
2023-02-24,1776.41,3970.04,288.14,15464.46,32816.92,11394.94,385.5
2023-02-27,1783.1,3982.24,290.2,15492.93,32889.09,11466.98,386.81
2023-02-28,1777.54,3970.15,289.82,15428.97,32656.7,11455.54,385.38
2023-03-01,1766.25,3951.39,287.49,15436.3,32661.84,11379.48,383.91
2023-03-02,1779.39,3981.35,289.87,15524.52,33003.57,11462.98,386.89
2023-03-03,1810.97,4045.64,295.87,15721.06,33390.97,11689.01,393.1
2023-03-06,1816.36,4048.42,296.2,15694.34,33431.44,11675.74,393.37
2023-03-07,1789.26,3986.37,292.57,15439.02,32856.46,11530.33,387.34
2023-03-08,1790.66,3992.01,294.03,15440.64,32798.4,11576.0,387.97
