,Date,NVDA
0,2023-01-03,14.3
1,2023-01-04,14.74
2,2023-01-05,14.25
3,2023-01-06,14.85
4,2023-01-09,15.62
5,2023-01-10,15.9
6,2023-01-11,15.99
7,2023-01-12,16.5
8,2023-01-13,16.89
9,2023-01-17,17.69
10,2023-01-18,17.36
11,2023-01-19,16.75
12,2023-01-20,17.83
13,2023-01-23,19.18
14,2023-01-24,19.25
15,2023-01-25,19.31
16,2023-01-26,19.79
17,2023-01-27,20.35
18,2023-01-30,19.15
19,2023-01-31,19.52
20,2023-02-01,20.93
21,2023-02-02,21.69
22,2023-02-03,21.08
23,2023-02-06,21.07
24,2023-02-07,22.16
25,2023-02-08,22.19
26,2023-02-09,22.32
27,2023-02-10,21.25
28,2023-02-13,21.77
29,2023-02-14,22.95
30,2023-02-15,22.75
31,2023-02-16,21.99
32,2023-02-17,21.37
33,2023-02-21,20.64
34,2023-02-22,20.74
35,2023-02-23,23.65
36,2023-02-24,23.27
37,2023-02-27,23.48
38,2023-02-28,23.2
39,2023-03-01,22.68
40,2023-03-02,23.3
41,2023-03-03,23.87
42,2023-03-06,23.54
43,2023-03-07,23.28
44,2023-03-08,24.17
45,2023-03-09,23.42
46,2023-03-10,22.95
47,2023-03-13,22.95
48,2023-03-14,24.05
49,2023-03-15,24.21
50,2023-03-16,25.53
51,2023-03-17,25.71
52,2023-03-20,25.89
53,2023-03-21,26.18
54,2023-03-22,26.45
55,2023-03-23,27.18
56,2023-03-24,26.76
57,2023-03-27,26.52
58,2023-03-28,26.4
59,2023-03-29,26.97
60,2023-03-30,27.37
61,2023-03-31,27.76
62,2023-04-03,27.95
63,2023-04-04,27.44
64,2023-04-05,26.87
65,2023-04-06,27.02
66,2023-04-10,27.56
67,2023-04-11,27.15
68,2023-04-12,26.48
69,2023-04-13,26.45
70,2023-04-14,26.74
71,2023-04-17,26.99
72,2023-04-18,27.65
73,2023-04-19,27.92
74,2023-04-20,27.09
75,2023-04-21,27.1
76,2023-04-24,27.03
77,2023-04-25,26.23
78,2023-04-26,26.94
79,2023-04-27,27.21
80,2023-04-28,27.73
81,2023-05-01,28.89
82,2023-05-02,28.19
83,2023-05-03,27.79
84,2023-05-04,27.55
85,2023-05-05,28.66
86,2023-05-08,29.13
87,2023-05-09,28.56
88,2023-05-10,28.87
89,2023-05-11,28.56
90,2023-05-12,28.32
91,2023-05-15,28.94
92,2023-05-16,29.2
93,2023-05-17,30.16
94,2023-05-18,31.66
95,2023-05-19,31.25
96,2023-05-22,31.16
97,2023-05-23,30.67
98,2023-05-24,30.52
99,2023-05-25,37.96
100,2023-05-26,38.92
101,2023-05-30,40.09
102,2023-05-31,37.81
103,2023-06-01,39.75
104,2023-06-02,39.31
105,2023-06-05,39.15
106,2023-06-06,38.63
107,2023-06-07,37.46
108,2023-06-08,38.49
109,2023-06-09,38.75
110,2023-06-12,39.46
111,2023-06-13,41.0
112,2023-06-14,42.98
113,2023-06-15,42.63
114,2023-06-16,42.67
115,2023-06-20,43.79
116,2023-06-21,43.03
117,2023-06-22,43.01
118,2023-06-23,42.19
119,2023-06-26,40.61
120,2023-06-27,41.86
121,2023-06-28,41.1
122,2023-06-29,40.8
123,2023-06-30,42.28
124,2023-07-03,42.39
125,2023-07-05,42.3
126,2023-07-06,42.08
127,2023-07-07,42.48
128,2023-07-10,42.16
129,2023-07-11,42.39
130,2023-07-12,43.88
131,2023-07-13,45.96
132,2023-07-14,45.45
133,2023-07-17,46.44
134,2023-07-18,47.47
135,2023-07-19,47.06
136,2023-07-20,45.5
137,2023-07-21,44.29
138,2023-07-24,44.59
139,2023-07-25,45.66
140,2023-07-26,45.43
141,2023-07-27,45.88
142,2023-07-28,46.73
143,2023-07-31,46.71
144,2023-08-01,46.49
145,2023-08-02,44.25
146,2023-08-03,44.49
147,2023-08-04,44.66
148,2023-08-07,45.4
149,2023-08-08,44.64
150,2023-08-09,42.53
151,2023-08-10,42.37
152,2023-08-11,40.84
153,2023-08-14,43.73
154,2023-08-15,43.92
155,2023-08-16,43.47
156,2023-08-17,43.32
157,2023-08-18,43.28
158,2023-08-21,46.95
159,2023-08-22,45.65
160,2023-08-23,47.09
161,2023-08-24,47.14
162,2023-08-25,46.0
163,2023-08-28,46.81
164,2023-08-29,48.76
165,2023-08-30,49.24
166,2023-08-31,49.33
167,2023-09-01,48.49
168,2023-09-05,48.53
169,2023-09-06,47.04
170,2023-09-07,46.22
171,2023-09-08,45.56
172,2023-09-11,45.16
173,2023-09-12,44.85
174,2023-09-13,45.47
175,2023-09-14,45.56
176,2023-09-15,43.88
177,2023-09-18,43.95
178,2023-09-19,43.5
179,2023-09-20,42.22
180,2023-09-21,41.0
181,2023-09-22,41.59
182,2023-09-25,42.21
183,2023-09-26,41.9
184,2023-09-27,42.45
185,2023-09-28,43.07
186,2023-09-29,43.48
187,2023-10-02,44.77
188,2023-10-03,43.5
189,2023-10-04,44.02
190,2023-10-05,44.67
191,2023-10-06,45.75
192,2023-10-09,45.26
193,2023-10-10,45.78
194,2023-10-11,46.79
195,2023-10-12,46.93
196,2023-10-13,45.44
197,2023-10-16,46.08
198,2023-10-17,43.92
199,2023-10-18,42.18
200,2023-10-19,42.09
201,2023-10-20,41.37
202,2023-10-23,42.96
203,2023-10-24,43.65
204,2023-10-25,41.76
205,2023-10-26,40.31
206,2023-10-27,40.48
207,2023-10-30,41.15
208,2023-10-31,40.76
209,2023-11-01,42.31
210,2023-11-02,43.49
211,2023-11-03,44.99
212,2023-11-06,45.73
213,2023-11-07,45.94
214,2023-11-08,46.56
215,2023-11-09,46.93
216,2023-11-10,48.32
217,2023-11-13,48.6
218,2023-11-14,49.64
219,2023-11-15,48.87
220,2023-11-16,49.46
221,2023-11-17,49.28
222,2023-11-20,50.39
223,2023-11-21,49.93
224,2023-11-22,48.7
225,2023-11-24,47.76
226,2023-11-27,48.22
227,2023-11-28,47.8
228,2023-11-29,48.12
229,2023-11-30,46.75
230,2023-12-01,46.75
231,2023-12-04,45.49
232,2023-12-05,46.55
233,2023-12-06,45.49
234,2023-12-07,46.58
235,2023-12-08,47.49
236,2023-12-11,46.61
237,2023-12-12,47.64
238,2023-12-13,48.07
239,2023-12-14,48.34
240,2023-12-15,48.88
241,2023-12-18,50.06
242,2023-12-19,49.59
243,2023-12-20,48.1
244,2023-12-21,48.98
245,2023-12-22,48.82
246,2023-12-26,49.27
247,2023-12-27,49.4
248,2023-12-28,49.51
249,2023-12-29,49.51
250,2024-01-02,48.15
251,2024-01-03,47.56
252,2024-01-04,47.98
253,2024-01-05,49.08
254,2024-01-08,52.24
255,2024-01-09,53.12
256,2024-01-10,54.33
257,2024-01-11,54.81
258,2024-01-12,54.69
259,2024-01-16,56.37
260,2024-01-17,56.04
261,2024-01-18,57.09
262,2024-01-19,59.47
263,2024-01-22,59.64
264,2024-01-23,59.86
265,2024-01-24,61.34
266,2024-01-25,61.6
267,2024-01-26,61.01
268,2024-01-29,62.45
269,2024-01-30,62.76
270,2024-01-31,61.51
271,2024-02-01,63.01
272,2024-02-02,66.14
273,2024-02-05,69.31
274,2024-02-06,68.2
275,2024-02-07,70.08
276,2024-02-08,69.62
277,2024-02-09,72.11
278,2024-02-12,72.23
279,2024-02-13,72.11
280,2024-02-14,73.88
281,2024-02-15,72.64
282,2024-02-16,72.59
283,2024-02-20,69.43
284,2024-02-21,67.45
285,2024-02-22,78.52
286,2024-02-23,78.79
287,2024-02-26,79.07
288,2024-02-27,78.68
289,2024-02-28,77.64
290,2024-02-29,79.09
291,2024-03-01,82.26
292,2024-03-04,85.21
293,2024-03-05,85.94
294,2024-03-06,88.68
295,2024-03-07,92.65
296,2024-03-08,87.51
297,2024-03-11,85.75
298,2024-03-12,91.89
299,2024-03-13,90.87
300,2024-03-14,87.92
301,2024-03-15,87.82
302,2024-03-18,88.43
303,2024-03-19,89.38
304,2024-03-20,90.35
305,2024-03-21,91.41
306,2024-03-22,94.27
307,2024-03-25,94.98
308,2024-03-26,92.54
309,2024-03-27,90.23
310,2024-03-28,90.33
311,2024-04-01,90.34
312,2024-04-02,89.43
313,2024-04-03,88.94
314,2024-04-04,85.88
315,2024-04-05,87.99
316,2024-04-08,87.11
317,2024-04-09,85.33
318,2024-04-10,87.02
319,2024-04-11,90.59
320,2024-04-12,88.17
321,2024-04-15,85.98
322,2024-04-16,87.39
323,2024-04-17,84.02
324,2024-04-18,84.65
325,2024-04-19,76.18
326,2024-04-22,79.5
327,2024-04-23,82.4
328,2024-04-24,79.66
329,2024-04-25,82.61
330,2024-04-26,87.71
331,2024-04-29,87.74
332,2024-04-30,86.38
333,2024-05-01,83.02
334,2024-05-02,85.8
335,2024-05-03,88.77
336,2024-05-06,92.12
337,2024-05-07,90.53
338,2024-05-08,90.39
339,2024-05-09,88.73
340,2024-05-10,89.86
341,2024-05-13,90.38
342,2024-05-14,91.33
343,2024-05-15,94.61
344,2024-05-16,94.34
345,2024-05-17,92.46
346,2024-05-20,94.76
347,2024-05-21,95.36
348,2024-05-22,94.93
349,2024-05-23,103.77
350,2024-05-24,106.44
351,2024-05-28,113.87
352,2024-05-29,114.8
353,2024-05-30,110.47
354,2024-05-31,109.61
